Algorithm,Image_File,Width,Height,Pixel_Count,Time_ms,Throughput_MPS,Status
Canny,blackhole2walpcomposite2.png,1125,2436,2740500,245.001455,11.185648,PASS
Sobel,blackhole2walp.png,1125,2436,2740500,32.341775,84.735609,PASS
Canny,blackhole2walp.png,1125,2436,2740500,248.528289,11.026914,PASS
Sobel,closeworlds.png,1125,2436,2740500,31.580970,86.776942,PASS
Canny,closeworlds.png,1125,2436,2740500,243.676336,11.246476,PASS
Sobel,walpaper3.png,1125,2436,2740500,33.898303,80.844755,PASS
Canny,walpaper3.png,1125,2436,2740500,254.388460,10.772894,PASS
Sobel,closeworldscomposite.png,1125,2436,2740500,37.333121,73.406668,PASS
Canny,closeworldscomposite.png,1125,2436,2740500,302.037985,9.073362,PASS
Sobel,Ring.png,1920,1920,3686400,72.146879,51.095765,PASS
Canny,Ring.png,1920,1920,3686400,517.490546,7.123608,PASS
Sobel,sunsetspring.png,2048,2048,4194304,79.484641,52.768736,PASS
Canny,sunsetspring.png,2048,2048,4194304,415.209118,10.101666,PASS
Sobel,astronaut4.png,2122,2652,5627544,103.618632,54.310155,PASS
Canny,astronaut4.png,2122,2652,5627544,554.947065,10.140686,PASS
Sobel,astronaut5.png,2122,2652,5627544,67.518561,83.348103,PASS
Canny,astronaut5.png,2122,2652,5627544,477.194610,11.792975,PASS
Sobel,astronaut3.png,2122,2652,5627544,67.789831,83.014575,PASS
Canny,astronaut3.png,2122,2652,5627544,525.900334,10.700780,PASS
